,statefp,name,state_name,LON,LAT
1893,48,Shelby,Texas,-94.14556416,-94.14556416
1894,37,Tyrrell,North Carolina,-76.17073426,-76.17073426
1895,6,Plumas,California,-120.8392652,-120.8392652
1896,17,Kankakee,Illinois,-87.86205334,-87.86205334
1897,42,Venango,Pennsylvania,-79.75845449,-79.75845449
1898,48,San Saba,Texas,-98.81754454,-98.81754454
1899,13,Rabun,Georgia,-83.40311245,-83.40311245
1900,5,Madison,Arkansas,-93.72524943,-93.72524943
1901,48,Henderson,Texas,-95.85846587,-95.85846587
1902,40,Johnston,Oklahoma,-96.66011537,-96.66011537
1903,51,Buchanan,Virginia,-82.04200864,-82.04200864
1904,36,Monroe,New York,-77.69322942,-77.69322942
1905,47,Cannon,Tennessee,-86.05738983,-86.05738983
1906,28,Union,Mississippi,-89.00776006,-89.00776006
1907,48,Victoria,Texas,-96.9679239,-96.9679239
1908,55,La Crosse,Wisconsin,-91.11451133,-91.11451133
1909,19,Taylor,Iowa,-94.69778563,-94.69778563
1910,31,Lincoln,Nebraska,-100.7475374,-100.7475374
1911,29,Atchison,Missouri,-95.42970639,-95.42970639
1912,5,White,Arkansas,-91.74909487,-91.74909487
1913,42,Luzerne,Pennsylvania,-75.98447579,-75.98447579
1914,21,Johnson,Kentucky,-82.82643644,-82.82643644
1915,42,Cameron,Pennsylvania,-78.20376845,-78.20376845
1916,47,Hardin,Tennessee,-88.1859404,-88.1859404
1917,29,Callaway,Missouri,-91.92186505,-91.92186505
1918,56,Crook,Wyoming,-104.5698737,-104.5698737
1919,55,Polk,Wisconsin,-92.44182875,-92.44182875
1920,51,King and Queen,Virginia,-76.88697336,-76.88697336
1921,5,Bradley,Arkansas,-92.16084528,-92.16084528
1922,27,Mahnomen,Minnesota,-95.80921485,-95.80921485
1923,30,Carter,Montana,-104.5395536,-104.5395536
1924,20,Norton,Kansas,-99.90286639,-99.90286639
1925,30,Treasure,Montana,-107.2666516,-107.2666516
1926,20,Republic,Kansas,-97.65036709,-97.65036709
1927,27,Polk,Minnesota,-96.40134647,-96.40134647
1928,20,Washington,Kansas,-97.08753226,-97.08753226
1929,48,Rains,Texas,-95.79236819,-95.79236819
1930,48,Hunt,Texas,-96.08551032,-96.08551032
1931,30,Valley,Montana,-106.666973,-106.666973
1932,72,Comerío,Puerto Rico,-66.22115202,-66.22115202
